"Path","Song","Pitch"
"MediaParams://C:\Users\David\Music\AC DC\ACDC - Its A Long Way To The Top.mp3","ACDC - Its A Long Way To The Top.mp3","0"
"MediaParams://C:\Users\David\Music\AC DC\Back In Black\06 - Back in Black.mp3","06 - Back in Black.mp3","-1"
"MediaParams://C:\Users\David\Music\AC DC\High Voltage\01-05- T N T.mp3","01-05- T N T.mp3","66"
"MediaParams://C:\Users\David\Music\Amazon Music\Bon Jovi\Cross Road\01-13- In And Out Of Love.mp3","01-13- In And Out Of Love.mp3","0"
"MediaParams://C:\Users\David\Music\Anthrax\Armed And Dangerous\04-Metal Thrashing Mad (Live).mp3","04-Metal Thrashing Mad (Live).mp3","0"
"MediaParams://C:\Users\David\Music\Bon Jovi\Cross Road [Explicit]\05 - Wanted Dead Or Alive.mp3","05 - Wanted Dead Or Alive.mp3","0"
"MediaParams://C:\Users\David\Music\Def Leppard\Rock of Ages- The Definitive Collection Disc 1\08 Foolin'.mp3","08 Foolin'.mp3","0"
"MediaParams://C:\Users\David\Music\Def Leppard\Rock of Ages- The Definitive Collection Disc 2\02 Let It Go.flac","02 Let It Go.flac","0"
"MediaParams://C:\Users\David\Music\Def Leppard\Rock of Ages- The Definitive Collection Disc 2\03 High 'N' Dry (Saturday Night).flac","03 High 'N' Dry (Saturday Night).flac","0"
"MediaParams://C:\Users\David\Music\Def Leppard\Rock of Ages- The Definitive Collection Disc 2\12 Rock Brigade.flac","12 Rock Brigade.flac","0"
"MediaParams://C:\Users\David\Music\Disturbed\Indestructible\01 - Indestructible.mp3","01 - Indestructible.mp3","0"
"MediaParams://C:\Users\David\Music\Dokken\05 - Lightnin' Strikes Again.mp3","05 - Lightnin' Strikes Again.mp3","90"
"MediaParams://C:\Users\David\Music\Dokken\The Very Best Of Dokken\03-Into The Fire.mp3","03-Into The Fire.mp3","66"
"MediaParams://C:\Users\David\Music\Dokken\Under Lock And Key\03 - In My Dreams (LP Version).mp3","03 - In My Dreams (LP Version).mp3","66"
"MediaParams://C:\Users\David\Music\Hammerfall\Glory To The Brave\08 - Unchained.mp3","08 - Unchained.mp3","0"
"MediaParams://C:\Users\David\Music\Iron Maiden\Piece of Mind\The Trooper.mp3","The Trooper.mp3","0"
"MediaParams://C:\Users\David\Music\Iron Maiden\Powerslave\Aces High.mp3","Aces High.mp3","0"
"MediaParams://C:\Users\David\Music\Iron Maiden\Powerslave\Powerslave.mp3","Powerslave.mp3","0"
"MediaParams://C:\Users\David\Music\Iron Maiden\The Number of the Beast\Hallowed Be Thy Name.mp3","Hallowed Be Thy Name.mp3","0"
"MediaParams://C:\Users\David\Music\Jessica Walsh\Celtic Music For Flute\15-Road to Listonvarna - The Morris Dance.mp3","15-Road to Listonvarna - The Morris Dance.mp3","0"
"MediaParams://C:\Users\David\Music\Megadeth\Rust in Peace\Tornado of Souls.mp3","Tornado of Souls.mp3","0"
"MediaParams://C:\Users\David\Music\Metallica\And Justice For All\Blackened.mp3","Blackened.mp3","0"
"MediaParams://C:\Users\David\Music\Metallica\Bonus Remastered\07 Creeping Death.mp3","07 Creeping Death.mp3","-22"
"MediaParams://C:\Users\David\Music\Metallica\Kill 'Em All\01. Hit The Lights.mp3","01. Hit The Lights.mp3","0"
"MediaParams://C:\Users\David\Music\Metallica\Kill 'Em All\04. Jump In The Fire.flac","04. Jump In The Fire.flac","0"
"MediaParams://C:\Users\David\Music\Metallica\Kill 'Em All\09. Seek & Destroy.flac","09. Seek & Destroy.flac","0"
"MediaParams://C:\Users\David\Music\Metallica\Kill 'Em All\09. Seek & Destroy.mp3","09. Seek & Destroy.mp3","-20"
"MediaParams://C:\Users\David\Music\Metallica\Master of Puppets\Battery.mp3","Battery.mp3","0"
"MediaParams://C:\Users\David\Music\Metallica\Master of Puppets\Leper Messiah.mp3","Leper Messiah.mp3","0"
"MediaParams://C:\Users\David\Music\Metallica\Master of Puppets\Master of Puppets.mp3","Master of Puppets.mp3","0"
"MediaParams://C:\Users\David\Music\Metallica\Master of Puppets\Welcome Home (Sanitarium).mp3","Welcome Home (Sanitarium).mp3","0"
"MediaParams://C:\Users\David\Music\Metallica\Metallica - Am I evil.mp3","Metallica - Am I evil.mp3","0"
"MediaParams://C:\Users\David\Music\Metallica\Ride The Lightning\02 Ride the Lightning.flac","02 Ride the Lightning.flac","-18"
"MediaParams://C:\Users\David\Music\Metallica\Ride The Lightning\03 For Whom the Bell Tolls.flac","03 For Whom the Bell Tolls.flac","-48"
"MediaParams://C:\Users\David\Music\Metallica\Ride The Lightning\03 For Whom the Bell Tolls.mp3","03 For Whom the Bell Tolls.mp3","-48"
"MediaParams://C:\Users\David\Music\Metallica\Ride The Lightning\04 Fade to Black.flac","04 Fade to Black.flac","-20"
"MediaParams://C:\Users\David\Music\Metallica\Ride The Lightning\05 Trapped Under Ice.flac","05 Trapped Under Ice.flac","0"
"MediaParams://C:\Users\David\Music\Metallica\Ride The Lightning\06 Escape.flac","06 Escape.flac","0"
"MediaParams://C:\Users\David\Music\Metallica\Ride The Lightning\07 Creeping Death.flac","07 Creeping Death.flac","0"
"MediaParams://C:\Users\David\Music\Metallica\Ride The Lightning\07 Creeping Death.mp3","07 Creeping Death.mp3","-18"
"MediaParams://C:\Users\David\Music\Misc Metal\Bon Jovi - Wanted Dead or Alive.mp3","Bon Jovi - Wanted Dead or Alive.mp3","0"
"MediaParams://C:\Users\David\Music\Misc Metal\Guitar Masters\Paul Gilbert - Racer X - Scarified.mp3","Paul Gilbert - Racer X - Scarified.mp3","66"
"MediaParams://C:\Users\David\Music\Misc Metal\Mountain - Mississippi Queen.mp3","Mountain - Mississippi Queen.mp3","0"
"MediaParams://C:\Users\David\Music\Misc Others\Theme - Rocky (Eye Of The Tiger).mp3","Theme - Rocky (Eye Of The Tiger).mp3","0"
"MediaParams://C:\Users\David\Music\Mötley Crüe\Dr. Feelgood (40th Anniversary) [2021 - Remaster]\05 - Kickstart My Heart (2021 - Remaster).mp3","05 - Kickstart My Heart (2021 - Remaster).mp3","0"
"MediaParams://C:\Users\David\Music\Music\AC DC\Back In Black\06 - Back in Black.mp3","06 - Back in Black.mp3","0"
"MediaParams://C:\Users\David\Music\Music\Metallica\Bonus Remastered\07 Creeping Death.mp3","07 Creeping Death.mp3","0"
"MediaParams://C:\Users\David\Music\Music\Metallica\Ride The Lightning\07 Creeping Death.flac","07 Creeping Death.flac","0"
"MediaParams://C:\Users\David\Music\Ozzy Osbourne\Blizzard Of Ozz\Crazy Train.mp3","Crazy Train.mp3","0"
"MediaParams://C:\Users\David\Music\Ozzy Osbourne\Blizzard Of Ozz\Mr. Crowley.mp3","Mr. Crowley.mp3","0"
"MediaParams://C:\Users\David\Music\Ratt\Ratt - Lay It Down.mp3","Ratt - Lay It Down.mp3","0"
"MediaParams://C:\Users\David\Music\Ratt\Tell the World- The Very Best of Ratt\06 You're in Love.flac","06 You're in Love.flac","0"
"MediaParams://C:\Users\David\Music\Ratt\Tell the World- The Very Best of Ratt\10 Round and Round.flac","10 Round and Round.flac","100"
"MediaParams://C:\Users\David\Music\Ratt\Tell the World- The Very Best of Ratt\11 Lay It Down.flac","11 Lay It Down.flac","0"
"MediaParams://C:\Users\David\Music\Ratt\Tell the World- The Very Best of Ratt\14 Wanted Man.flac","14 Wanted Man.flac","50"
"MediaParams://C:\Users\David\Music\Scorpions\Gold\(Disc 2) 03 - Big City Nights.mp3","(Disc 2) 03 - Big City Nights.mp3","0"
"MediaParams://C:\Users\David\Music\Scorpions\Gold\16 - Dynamite.mp3","16 - Dynamite.mp3","0"
"MediaParams://C:\Users\David\Music\Scorpions\Scorpians - Rock You Like a Hurricane.mp3","Scorpians - Rock You Like a Hurricane.mp3","0"
"MediaParams://C:\Users\David\Music\Soundgarden\Superunknown\Spoonman.mp3","Spoonman.mp3","0"
"MediaParams://C:\Users\David\Music\Van Halen\1984\03-Panama.mp3","03-Panama.mp3","66"
"MediaParams://C:\Users\David\Music\Van Halen\1984\06-Hot For Teacher.mp3","06-Hot For Teacher.mp3","0"
"MediaParams://C:\Users\David\Music\Van Halen\Fair Warning\05-Unchained.mp3","05-Unchained.mp3","104"
"MediaParams://C:\Users\David\Music\Van Halen\Van Halen\08-Feel Your Love Tonight.mp3","08-Feel Your Love Tonight.mp3","100"
"MediaParams://C:\Users\David\Music\Video Projects\05-Alone Again.mp3","05-Alone Again.mp3","66"
"MediaParams://C:\Users\David\Music\Winger\07 - Time to Surrender.mp3","07 - Time to Surrender.mp3","100"
